
time,ax,ay,az,wx,wy,wz,
0.003,-0.20,-0.09,-1.68,-0.48,0.18,0.16,
0.004,-0.20,-0.09,-1.68,-0.49,0.17,0.16,
0.004,-0.20,-0.09,-1.68,-0.52,0.15,0.16,
0.004,-0.20,-0.09,-1.68,-0.54,0.13,0.16,
0.005,-0.02,0.00,-0.87,-0.54,0.13,0.16,
0.005,-0.02,0.00,-0.87,-0.55,0.11,0.16,
0.005,-0.02,0.00,-0.87,-0.57,0.08,0.16,
0.006,-0.02,0.00,-0.87,-0.57,0.08,0.16,
0.006,-0.02,0.00,-0.87,-0.57,0.06,0.16,
0.006,-0.02,0.00,-0.87,-0.56,0.04,0.15,
0.006,-0.01,0.00,0.10,-0.56,0.04,0.15,
0.007,-0.01,0.00,0.10,-0.55,0.03,0.15,
0.007,-0.01,0.00,0.10,-0.52,0.01,0.16,
0.007,-0.01,0.00,0.10,-0.50,0.01,0.16,
0.008,-0.01,0.00,0.10,-0.48,0.00,0.16,
0.008,-0.01,0.00,0.10,-0.45,-0.01,0.17,
0.008,-0.15,-0.09,0.97,-0.45,-0.01,0.17,
0.009,-0.15,-0.09,0.97,-0.42,-0.01,0.17,
0.009,-0.15,-0.09,0.97,-0.38,-0.02,0.17,
0.009,-0.15,-0.09,0.97,-0.36,-0.02,0.17,
0.009,-0.15,-0.09,0.97,-0.33,-0.02,0.16,
0.01,-0.15,-0.09,0.97,-0.29,-0.02,0.16,
0.01,0.14,-0.19,1.54,-0.29,-0.02,0.16,
0.01,0.14,-0.19,1.54,-0.26,-0.02,0.15,
0.013,0.14,-0.19,1.54,-0.21,-0.01,0.14,
0.014,0.14,-0.19,1.54,-0.19,-0.00,0.14,
0.015,0.14,-0.19,1.54,-0.15,0.01,0.13,
0.017,0.14,-0.19,1.54,-0.12,0.02,0.12,
0.019,0.43,-0.20,1.70,-0.12,0.02,0.12,
0.019,0.43,-0.20,1.70,-0.09,0.04,0.11,
0.021,0.43,-0.20,1.70,-0.05,0.07,0.10,
0.023,0.43,-0.20,1.70,-0.03,0.08,0.10,
0.024,0.43,-0.20,1.70,-0.01,0.10,0.09,
0.026,0.43,-0.20,1.70,0.01,0.11,0.08,
0.041,0.60,-0.24,1.43,0.01,0.11,0.08,
0.041,0.60,-0.24,1.43,0.03,0.13,0.07,
0.041,0.60,-0.24,1.43,0.06,0.17,0.06,
0.041,0.60,-0.24,1.43,0.07,0.18,0.06,
0.041,0.60,-0.24,1.43,0.08,0.19,0.05,
0.042,0.60,-0.24,1.43,0.10,0.21,0.05,
0.042,0.45,-0.22,1.00,0.10,0.21,0.05,
0.042,0.45,-0.22,1.00,0.11,0.23,0.05,
0.042,0.45,-0.22,1.00,0.12,0.25,0.05,
0.042,0.45,-0.22,1.00,0.13,0.25,0.05,
0.044,0.45,-0.22,1.00,0.14,0.26,0.05,
0.05,0.45,-0.22,1.00,0.15,0.26,0.05,
0.05,0.21,-0.20,0.51,0.15,0.26,0.05,
0.051,0.21,-0.20,0.51,0.15,0.26,0.05,
0.051,0.21,-0.20,0.51,0.16,0.25,0.06,
0.053,0.21,-0.20,0.51,0.16,0.25,0.06,
0.062,0.21,-0.20,0.51,0.16,0.24,0.07,
0.075,0.21,-0.20,0.51,0.17,0.22,0.08,
0.075,-0.15,-0.17,0.03,0.17,0.22,0.08,
0.076,-0.15,-0.17,0.03,0.17,0.20,0.08,
0.076,-0.15,-0.17,0.03,0.17,0.16,0.09,
0.076,-0.15,-0.17,0.03,0.17,0.15,0.10,
0.076,-0.15,-0.17,0.03,0.17,0.12,0.10,
0.076,-0.15,-0.17,0.03,0.17,0.09,0.11,
0.076,-0.33,-0.08,-0.27,0.17,0.09,0.11,
0.077,-0.33,-0.08,-0.27,0.17,0.06,0.12,
0.077,-0.33,-0.08,-0.27,0.17,0.01,0.13,
0.077,-0.33,-0.08,-0.27,0.17,-0.00,0.13,
0.077,-0.33,-0.08,-0.27,0.17,-0.03,0.14,
0.077,-0.33,-0.08,-0.27,0.16,-0.06,0.14,
0.087,-0.26,-0.02,-0.45,0.16,-0.06,0.14,
0.089,-0.26,-0.02,-0.45,0.16,-0.08,0.14,
0.09,-0.26,-0.02,-0.45,0.15,-0.11,0.15,
0.09,-0.26,-0.02,-0.45,0.14,-0.12,0.15,
0.091,-0.26,-0.02,-0.45,0.14,-0.14,0.15,
0.091,-0.26,-0.02,-0.45,0.13,-0.15,0.16,
0.092,-0.11,-0.02,-0.65,0.13,-0.15,0.16,
0.093,-0.11,-0.02,-0.65,0.12,-0.16,0.16,
0.093,-0.11,-0.02,-0.65,0.10,-0.17,0.16,
0.094,-0.11,-0.02,-0.65,0.10,-0.18,0.16,
0.102,-0.11,-0.02,-0.65,0.08,-0.18,0.16,
0.103,-0.11,-0.02,-0.65,0.07,-0.19,0.16,
0.103,0.05,-0.07,-0.72,0.07,-0.19,0.16,
0.104,0.05,-0.07,-0.72,0.06,-0.19,0.16,
0.104,0.05,-0.07,-0.72,0.05,-0.19,0.16,
0.104,0.05,-0.07,-0.72,0.04,-0.19,0.16,
0.105,0.05,-0.07,-0.72,0.03,-0.20,0.17,
0.107,0.05,-0.07,-0.72,0.02,-0.20,0.17,
0.109,0.05,-0.07,-0.64,0.02,-0.20,0.17,
0.11,0.05,-0.07,-0.64,0.01,-0.20,0.17,
0.113,0.05,-0.07,-0.64,0.00,-0.20,0.17,
0.115,0.05,-0.07,-0.64,0.00,-0.20,0.17,
0.115,0.05,-0.07,-0.64,-0.01,-0.19,0.17,
0.116,0.05,-0.07,-0.64,-0.01,-0.19,0.17,
0.119,0.05,-0.05,-0.44,-0.01,-0.19,0.17,
0.119,0.05,-0.05,-0.44,-0.01,-0.18,0.17,
0.122,0.05,-0.05,-0.44,-0.02,-0.17,0.17,
0.123,0.05,-0.05,-0.44,-0.02,-0.17,0.17,
0.126,0.05,-0.05,-0.44,-0.03,-0.16,0.17,
0.127,0.05,-0.05,-0.44,-0.03,-0.15,0.17,
0.131,0.15,-0.06,-0.25,-0.03,-0.15,0.17,
0.132,0.15,-0.06,-0.25,-0.03,-0.15,0.17,
0.133,0.15,-0.06,-0.25,-0.04,-0.13,0.17,
0.134,0.15,-0.06,-0.25,-0.04,-0.13,0.17,
0.134,0.15,-0.06,-0.25,-0.04,-0.12,0.16,
0.136,0.15,-0.06,-0.25,-0.05,-0.10,0.16,
0.163,0.25,-0.06,-0.18,-0.05,-0.10,0.16,
0.163,0.25,-0.06,-0.18,-0.05,-0.09,0.16,
0.164,0.25,-0.06,-0.18,-0.06,-0.08,0.15,
0.164,0.25,-0.06,-0.18,-0.06,-0.07,0.15,
0.165,0.25,-0.06,-0.18,-0.06,-0.06,0.14,
0.165,0.25,-0.06,-0.18,-0.07,-0.05,0.14,
0.166,0.33,-0.02,-0.11,-0.07,-0.05,0.14,
0.166,0.33,-0.02,-0.11,-0.07,-0.04,0.14,
0.166,0.33,-0.02,-0.11,-0.07,-0.04,0.13,
0.167,0.33,-0.02,-0.11,-0.07,-0.03,0.13,
0.167,0.33,-0.02,-0.11,-0.07,-0.03,0.12,
0.167,0.33,-0.02,-0.11,-0.07,-0.02,0.12,
0.168,0.36,-0.05,-0.09,-0.07,-0.02,0.12,
0.168,0.36,-0.05,-0.09,-0.08,-0.02,0.12,
0.168,0.36,-0.05,-0.09,-0.08,-0.02,0.11,
0.168,0.36,-0.05,-0.09,-0.08,-0.02,0.11,
0.169,0.36,-0.05,-0.09,-0.08,-0.02,0.11,
0.169,0.36,-0.05,-0.09,-0.08,-0.01,0.11,
0.169,0.28,-0.05,-0.10,-0.08,-0.01,0.11,
0.169,0.28,-0.05,-0.10,-0.09,-0.01,0.10,
0.173,0.28,-0.05,-0.10,-0.09,-0.01,0.10,
0.174,0.28,-0.05,-0.10,-0.09,-0.01,0.10,
0.176,0.28,-0.05,-0.10,-0.08,-0.02,0.10,
0.178,0.28,-0.05,-0.10,-0.08,-0.02,0.09,
0.179,0.18,0.01,-0.04,-0.08,-0.02,0.09,
0.179,0.18,0.01,-0.04,-0.08,-0.02,0.09,
0.182,0.18,0.01,-0.04,-0.08,-0.03,0.09,
0.183,0.18,0.01,-0.04,-0.07,-0.03,0.09,
0.185,0.18,0.01,-0.04,-0.07,-0.03,0.09,
0.187,0.18,0.01,-0.04,-0.07,-0.03,0.09,
0.188,0.12,-0.01,0.07,-0.07,-0.03,0.09,
0.189,0.12,-0.01,0.07,-0.06,-0.03,0.10,
0.192,0.12,-0.01,0.07,-0.05,-0.04,0.10,
0.193,0.12,-0.01,0.07,-0.05,-0.04,0.10,
0.199,0.12,-0.01,0.07,-0.05,-0.04,0.10,
0.2,0.12,-0.01,0.07,-0.04,-0.04,0.11,
0.2,0.07,-0.07,0.07,-0.04,-0.04,0.11,
0.201,0.07,-0.07,0.07,-0.04,-0.04,0.11,
0.203,0.07,-0.07,0.07,-0.03,-0.05,0.11,
0.204,0.07,-0.07,0.07,-0.03,-0.05,0.11,
0.209,0.07,-0.07,0.07,-0.03,-0.05,0.12,
0.209,0.07,-0.07,0.07,-0.02,-0.05,0.12,
0.212,0.05,-0.08,-0.08,-0.02,-0.05,0.12,
0.213,0.05,-0.08,-0.08,-0.02,-0.05,0.12,
0.213,0.05,-0.08,-0.08,-0.02,-0.06,0.12,
0.213,0.05,-0.08,-0.08,-0.02,-0.06,0.12,
0.221,0.05,-0.08,-0.08,-0.02,-0.07,0.12,
0.221,0.05,-0.08,-0.08,-0.03,-0.07,0.13,
0.222,0.06,-0.06,-0.25,-0.03,-0.07,0.13,
0.222,0.06,-0.06,-0.25,-0.03,-0.07,0.13,
0.222,0.06,-0.06,-0.25,-0.04,-0.08,0.13,
0.222,0.06,-0.06,-0.25,-0.04,-0.08,0.13,
0.225,0.06,-0.06,-0.25,-0.04,-0.09,0.13,
0.228,0.06,-0.06,-0.25,-0.05,-0.10,0.13,
0.229,0.04,0.02,-0.33,-0.05,-0.10,0.13,
0.229,0.04,0.02,-0.33,-0.05,-0.10,0.13,
0.233,0.04,0.02,-0.33,-0.06,-0.11,0.13,
0.235,0.04,0.02,-0.33,-0.06,-0.11,0.12,
0.236,0.04,0.02,-0.33,-0.06,-0.11,0.12,
0.237,0.04,0.02,-0.33,-0.06,-0.11,0.12,
0.238,0.11,0.05,-0.17,-0.06,-0.11,0.12,
0.238,0.11,0.05,-0.17,-0.06,-0.12,0.12,
0.242,0.11,0.05,-0.17,-0.06,-0.12,0.11,
0.243,0.11,0.05,-0.17,-0.05,-0.12,0.11,
0.248,0.11,0.05,-0.17,-0.05,-0.12,0.10,
0.25,0.11,0.05,-0.17,-0.05,-0.13,0.09,
0.25,0.35,0.02,-0.02,-0.05,-0.13,0.09,
0.251,0.35,0.02,-0.02,-0.05,-0.13,0.09,
0.252,0.35,0.02,-0.02,-0.05,-0.13,0.08,
0.254,0.35,0.02,-0.02,-0.05,-0.13,0.07,
0.255,0.35,0.02,-0.02,-0.05,-0.12,0.07,
0.257,0.35,0.02,-0.02,-0.06,-0.12,0.06,
0.259,0.38,-0.03,-0.09,-0.06,-0.12,0.06,
0.26,0.38,-0.03,-0.09,-0.06,-0.12,0.06,
0.265,0.38,-0.03,-0.09,-0.06,-0.11,0.05,
0.266,0.38,-0.03,-0.09,-0.06,-0.11,0.05,
0.266,0.38,-0.03,-0.09,-0.07,-0.10,0.04,
0.267,0.38,-0.03,-0.09,-0.07,-0.10,0.04,
0.268,0.31,-0.03,-0.06,-0.07,-0.10,0.04,
0.269,0.31,-0.03,-0.06,-0.07,-0.10,0.03,
0.271,0.31,-0.03,-0.06,-0.07,-0.10,0.03,
0.272,0.31,-0.03,-0.06,-0.07,-0.10,0.03,
0.275,0.31,-0.03,-0.06,-0.07,-0.09,0.03,
0.279,0.31,-0.03,-0.06,-0.06,-0.09,0.03,
0.28,0.18,-0.04,0.09,-0.06,-0.09,0.03,
0.28,0.18,-0.04,0.09,-0.06,-0.08,0.03,
0.281,0.18,-0.04,0.09,-0.06,-0.08,0.03,
0.282,0.18,-0.04,0.09,-0.06,-0.07,0.03,
0.284,0.18,-0.04,0.09,-0.05,-0.07,0.04,
0.286,0.18,-0.04,0.09,-0.05,-0.07,0.04,
0.289,0.07,-0.12,0.14,-0.05,-0.07,0.04,
0.289,0.07,-0.12,0.14,-0.05,-0.07,0.04,
0.292,0.07,-0.12,0.14,-0.05,-0.06,0.04,
0.293,0.07,-0.12,0.14,-0.05,-0.06,0.05,
0.308,0.07,-0.12,0.14,-0.04,-0.05,0.05,
0.309,0.07,-0.12,0.14,-0.05,-0.05,0.05,
0.309,-0.01,-0.16,0.08,-0.05,-0.05,0.05,
0.309,-0.01,-0.16,0.08,-0.05,-0.05,0.06,
0.31,-0.01,-0.16,0.08,-0.05,-0.05,0.06,
0.31,-0.01,-0.16,0.08,-0.05,-0.05,0.06,
0.337,-0.01,-0.16,0.08,-0.04,-0.05,0.07,
0.337,-0.01,-0.16,0.08,-0.04,-0.06,0.07,
0.338,-0.06,-0.12,0.08,-0.04,-0.06,0.07,
0.338,-0.06,-0.12,0.08,-0.04,-0.06,0.07,
0.339,-0.06,-0.12,0.08,-0.04,-0.06,0.08,
0.339,-0.06,-0.12,0.08,-0.04,-0.06,0.08,
0.34,-0.06,-0.12,0.08,-0.04,-0.06,0.08,
0.34,-0.06,-0.12,0.08,-0.04,-0.07,0.08,
0.341,-0.04,-0.12,0.01,-0.04,-0.07,0.08,
0.341,-0.04,-0.12,0.01,-0.04,-0.07,0.09,
0.341,-0.04,-0.12,0.01,-0.05,-0.07,0.09,
0.342,-0.04,-0.12,0.01,-0.05,-0.07,0.09,
0.342,-0.04,-0.12,0.01,-0.05,-0.07,0.10,
0.343,-0.04,-0.12,0.01,-0.06,-0.07,0.10,
0.343,-0.06,-0.16,-0.09,-0.06,-0.07,0.10,
0.344,-0.06,-0.16,-0.09,-0.06,-0.08,0.10,
0.344,-0.06,-0.16,-0.09,-0.07,-0.08,0.11,
0.344,-0.06,-0.16,-0.09,-0.07,-0.08,0.11,
0.345,-0.06,-0.16,-0.09,-0.07,-0.09,0.11,
0.345,-0.06,-0.16,-0.09,-0.08,-0.09,0.11,
0.345,-0.00,-0.14,-0.16,-0.08,-0.09,0.11,
0.346,-0.00,-0.14,-0.16,-0.08,-0.09,0.11,
0.346,-0.00,-0.14,-0.16,-0.09,-0.10,0.11,
0.347,-0.00,-0.14,-0.16,-0.09,-0.10,0.11,
0.347,-0.00,-0.14,-0.16,-0.09,-0.11,0.11,
0.347,-0.00,-0.14,-0.16,-0.10,-0.11,0.11,
0.355,0.09,-0.07,-0.15,-0.10,-0.11,0.11,
0.356,0.09,-0.07,-0.15,-0.10,-0.12,0.10,
0.356,0.09,-0.07,-0.15,-0.11,-0.12,0.10,
0.356,0.09,-0.07,-0.15,-0.11,-0.13,0.10,
0.356,0.09,-0.07,-0.15,-0.11,-0.13,0.10,
0.357,0.09,-0.07,-0.15,-0.12,-0.13,0.10,
0.358,0.13,-0.05,-0.16,-0.12,-0.13,0.10,
0.359,0.13,-0.05,-0.16,-0.13,-0.13,0.09,
0.361,0.13,-0.05,-0.16,-0.13,-0.13,0.09,
0.363,0.13,-0.05,-0.16,-0.13,-0.14,0.09,
0.366,0.13,-0.05,-0.16,-0.14,-0.14,0.09,
0.366,0.13,-0.05,-0.16,-0.14,-0.13,0.09,
0.369,0.17,-0.06,-0.09,-0.14,-0.13,0.09,
0.369,0.17,-0.06,-0.09,-0.14,-0.13,0.08,
0.373,0.17,-0.06,-0.09,-0.15,-0.13,0.08,
0.375,0.17,-0.06,-0.09,-0.15,-0.12,0.08,
0.376,0.17,-0.06,-0.09,-0.14,-0.12,0.08,
0.386,0.17,-0.06,-0.09,-0.14,-0.12,0.08,
0.387,0.17,-0.06,0.10,-0.14,-0.12,0.08,
0.389,0.17,-0.06,0.10,-0.14,-0.11,0.08,
0.392,0.17,-0.06,0.10,-0.14,-0.11,0.08,
0.393,0.17,-0.06,0.10,-0.13,-0.11,0.08,
0.393,0.17,-0.06,0.10,-0.13,-0.10,0.08,
0.393,0.17,-0.06,0.10,-0.12,-0.10,0.08,
0.393,0.13,-0.06,0.27,-0.12,-0.10,0.08,
0.393,0.13,-0.06,0.27,-0.11,-0.10,0.08,
0.393,0.13,-0.06,0.27,-0.10,-0.09,0.08,
0.395,0.13,-0.06,0.27,-0.09,-0.09,0.08,
0.395,0.13,-0.06,0.27,-0.09,-0.09,0.08,
0.396,0.13,-0.06,0.27,-0.08,-0.09,0.08,
0.399,0.02,-0.11,0.32,-0.08,-0.09,0.08,
0.404,0.02,-0.11,0.32,-0.07,-0.09,0.09,
0.405,0.02,-0.11,0.32,-0.06,-0.09,0.10,
0.405,0.02,-0.11,0.32,-0.05,-0.09,0.10,
0.405,0.02,-0.11,0.32,-0.04,-0.09,0.10,
0.406,0.02,-0.11,0.32,-0.03,-0.09,0.10,
0.408,-0.06,-0.09,0.32,-0.03,-0.09,0.10,
0.409,-0.06,-0.09,0.32,-0.02,-0.09,0.10,
0.411,-0.06,-0.09,0.32,-0.01,-0.10,0.11,
0.412,-0.06,-0.09,0.32,-0.01,-0.10,0.11,
0.414,-0.06,-0.09,0.32,-0.00,-0.11,0.12,
0.417,-0.06,-0.09,0.32,0.01,-0.11,0.12,
0.419,-0.12,-0.05,0.24,0.01,-0.11,0.12,
0.42,-0.12,-0.05,0.24,0.02,-0.12,0.13,
0.422,-0.12,-0.05,0.24,0.03,-0.13,0.13,
0.423,-0.12,-0.05,0.24,0.03,-0.13,0.14,
0.425,-0.12,-0.05,0.24,0.04,-0.14,0.14,
0.438,-0.12,-0.05,0.24,0.04,-0.15,0.14,
0.44,-0.14,-0.02,0.10,0.04,-0.15,0.14,
0.441,-0.14,-0.02,0.10,0.04,-0.16,0.14,
0.441,-0.14,-0.02,0.10,0.04,-0.17,0.14,
0.442,-0.14,-0.02,0.10,0.04,-0.17,0.14,
0.443,-0.14,-0.02,0.10,0.04,-0.18,0.14,
0.444,-0.14,-0.02,0.10,0.04,-0.19,0.13,
0.445,0.03,0.06,-0.06,0.04,-0.19,0.13,
0.445,0.03,0.06,-0.06,0.04,-0.19,0.13,
0.448,0.03,0.06,-0.06,0.03,-0.20,0.13,
0.449,0.03,0.06,-0.06,0.03,-0.20,0.12,
0.462,0.03,0.06,-0.06,0.02,-0.20,0.12,
0.463,0.03,0.06,-0.06,0.02,-0.20,0.11,
0.464,0.22,0.11,-0.14,0.02,-0.20,0.11,
0.464,0.22,0.11,-0.14,0.01,-0.20,0.11,
0.464,0.22,0.11,-0.14,0.00,-0.20,0.10,
0.465,0.22,0.11,-0.14,0.00,-0.19,0.10,
