
time,ax,ay,az,wx,wy,wz,
0.003,-2.31,-0.36,-1.28,-0.61,-0.11,0.83,
0.003,-2.55,-0.28,-1.03,-0.61,-0.11,0.83,
0.004,-2.55,-0.28,-1.03,-0.61,-0.12,0.86,
0.004,-2.55,-0.28,-1.03,-0.61,-0.12,0.90,
0.005,-2.55,-0.28,-1.03,-0.62,-0.13,0.93,
0.005,-2.55,-0.28,-1.03,-0.62,-0.14,0.96,
0.005,-2.55,-0.28,-1.03,-0.63,-0.15,0.99,
0.006,-2.27,-0.29,-1.05,-0.63,-0.15,0.99,
0.006,-2.27,-0.29,-1.05,-0.64,-0.15,1.02,
0.006,-2.27,-0.29,-1.05,-0.65,-0.16,1.04,
0.007,-2.27,-0.29,-1.05,-0.66,-0.16,1.07,
0.007,-2.27,-0.29,-1.05,-0.67,-0.17,1.09,
0.007,-2.27,-0.29,-1.05,-0.69,-0.18,1.12,
0.007,-1.63,-0.31,-1.21,-0.69,-0.18,1.12,
0.008,-1.63,-0.31,-1.21,-0.70,-0.19,1.13,
0.008,-1.63,-0.31,-1.21,-0.72,-0.20,1.15,
0.008,-1.63,-0.31,-1.21,-0.73,-0.21,1.17,
0.009,-1.63,-0.31,-1.21,-0.75,-0.22,1.18,
0.009,-1.63,-0.31,-1.21,-0.76,-0.24,1.19,
0.023,-1.11,-0.22,-1.23,-0.76,-0.24,1.19,
0.023,-1.11,-0.22,-1.23,-0.77,-0.25,1.20,
0.024,-1.11,-0.22,-1.23,-0.78,-0.26,1.21,
0.024,-1.11,-0.22,-1.23,-0.78,-0.26,1.22,
0.025,-1.11,-0.22,-1.23,-0.79,-0.27,1.23,
0.025,-1.11,-0.22,-1.23,-0.79,-0.27,1.23,
0.025,-0.54,-0.14,-0.78,-0.79,-0.27,1.23,
0.026,-0.54,-0.14,-0.78,-0.79,-0.27,1.23,
0.027,-0.54,-0.14,-0.78,-0.78,-0.28,1.23,
0.027,-0.54,-0.14,-0.78,-0.77,-0.28,1.23,
0.027,-0.54,-0.14,-0.78,-0.76,-0.29,1.23,
0.031,-0.54,-0.14,-0.78,-0.74,-0.29,1.22,
0.031,0.06,-0.25,0.07,-0.74,-0.29,1.22,
0.031,0.06,-0.25,0.07,-0.72,-0.29,1.21,
0.04,0.06,-0.25,0.07,-0.69,-0.30,1.20,
0.04,0.06,-0.25,0.07,-0.66,-0.30,1.19,
0.041,0.06,-0.25,0.07,-0.63,-0.30,1.18,
0.041,0.06,-0.25,0.07,-0.59,-0.30,1.16,
0.042,0.41,-0.25,0.99,-0.59,-0.30,1.16,
0.042,0.41,-0.25,0.99,-0.55,-0.30,1.15,
0.057,0.41,-0.25,0.99,-0.51,-0.29,1.13,
0.058,0.41,-0.25,0.99,-0.47,-0.29,1.12,
0.058,0.41,-0.25,0.99,-0.43,-0.28,1.10,
0.058,0.41,-0.25,0.99,-0.39,-0.28,1.09,
0.058,0.70,-0.12,1.57,-0.39,-0.28,1.09,
0.058,0.70,-0.12,1.57,-0.34,-0.27,1.07,
