
time,gFx,gFy,gFz,I,
0.02,0.00,0.00,0.00,70.00,
0.08,-0.04,0.14,1.00,70.00,
0.14,-0.02,0.14,0.99,70.00,
0.17,-0.02,0.14,0.99,73.00,
0.21,-0.02,0.15,0.98,73.00,
0.28,-0.03,0.16,0.98,73.00,
0.34,-0.03,0.16,0.99,73.00,
0.41,-0.03,0.17,0.97,73.00,
0.47,-0.04,0.17,0.97,73.00,
0.52,-0.04,0.17,0.97,73.00,
0.54,-0.03,0.15,1.01,73.00,
0.61,-0.02,0.16,1.01,73.00,
0.67,-0.04,0.17,1.00,73.00,
0.74,-0.03,0.17,1.00,73.00,
0.80,-0.08,0.16,0.97,73.00,
0.87,-0.08,0.16,0.97,69.00,
0.87,-0.08,0.17,0.94,69.00,
0.94,-0.07,0.17,1.03,69.00,
1.00,-0.09,0.19,0.98,69.00,
1.07,-0.07,0.20,0.95,69.00,
1.14,-0.08,0.17,1.02,69.00,
1.20,-0.07,0.20,0.97,69.00,
1.22,-0.07,0.20,0.97,65.00,
1.26,-0.08,0.21,0.95,65.00,
1.33,-0.14,0.18,1.16,65.00,
1.40,-0.07,0.32,0.81,65.00,
1.46,0.01,0.28,0.95,65.00,
1.53,0.05,0.25,1.01,65.00,
1.57,0.05,0.25,1.01,72.00,
1.60,0.11,0.36,0.87,72.00,
1.66,0.04,0.24,1.11,72.00,
1.73,0.09,0.36,0.80,72.00,
1.79,0.04,0.44,0.67,72.00,
1.86,-0.01,0.34,0.97,72.00,
1.92,-0.01,0.34,0.97,87.00,
1.93,0.01,0.33,1.08,87.00,
1.99,-0.02,0.28,1.09,87.00,
2.06,0.08,0.22,1.14,87.00,
2.13,0.08,-0.03,1.52,87.00,
2.19,0.06,0.05,1.02,87.00,
2.26,-0.06,-0.02,1.03,87.00,
2.27,-0.06,-0.02,1.03,81.00,
2.32,-0.02,0.08,0.75,81.00,
2.39,-0.03,0.07,0.80,81.00,
2.45,-0.02,0.13,0.81,81.00,
2.52,0.00,0.14,0.91,81.00,
